,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K,age_10
0,39,7,9,4,4,1,1,4,1,8,0,4,39,0,3
22,35,1,6,11,2,5,0,2,1,5,0,4,39,0,3
122,30,4,9,4,4,4,3,2,1,5,0,4,11,0,3
130,28,4,7,3,4,12,1,4,0,5,0,6,39,0,2
162,44,5,12,5,0,4,4,1,0,5,0,4,39,0,4
234,28,4,14,6,4,10,1,4,1,5,0,5,39,1,2
270,61,4,11,15,2,4,0,4,1,5,0,4,39,1,6
274,30,4,11,15,0,10,3,4,0,5,0,4,39,0,3
325,63,6,11,15,2,5,0,4,1,5,0,4,39,0,6
337,49,4,12,5,4,10,1,4,1,5,0,6,39,0,4
378,46,6,12,5,0,4,1,4,1,5,0,3,39,0,4
438,23,4,15,1,2,1,0,4,1,5,0,4,39,0,2
455,40,4,8,2,2,7,0,1,1,5,0,4,39,1,4
482,28,7,9,4,4,10,1,4,1,5,0,2,39,0,2
581,57,4,11,15,2,12,0,4,1,5,0,4,39,1,5
640,26,4,11,15,0,3,1,4,1,5,0,5,39,0,2
647,71,4,11,15,2,3,0,4,1,5,0,1,39,0,7
655,29,7,15,1,4,1,4,1,0,5,0,4,30,0,2
664,20,4,15,1,4,12,1,4,0,5,0,2,39,0,2
671,17,0,1,13,4,0,3,4,0,5,0,2,39,0,1
703,31,6,15,1,2,3,0,4,1,5,0,4,39,0,3
711,36,4,15,1,0,1,4,2,0,5,0,4,39,0,3
777,34,4,12,5,2,10,0,4,1,5,0,4,0,0,3
864,33,4,11,15,2,7,0,4,1,5,0,4,39,0,3
880,49,4,6,11,0,7,1,4,0,5,0,4,39,0,4
909,53,4,15,1,2,13,0,4,1,5,0,4,39,0,5
917,67,5,11,15,2,4,0,1,1,5,0,4,39,1,6
940,31,4,7,3,0,8,4,0,0,5,0,4,39,0,3
1048,20,4,15,1,4,12,1,4,0,5,0,5,39,0,2
1082,58,6,11,15,2,5,0,4,1,5,0,6,39,0,5
1097,19,0,11,15,4,0,3,4,0,5,0,4,39,0,1
1199,50,4,11,15,2,3,0,4,1,10,0,4,0,0,5
1207,38,4,9,4,2,12,0,4,1,5,0,4,39,1,3
1415,28,7,15,1,2,1,0,1,1,5,0,2,39,0,2
1439,47,4,11,15,2,12,0,4,1,5,0,4,39,1,4
1466,35,4,15,1,2,3,0,4,1,5,3,4,39,0,3
1496,32,4,1,13,0,12,1,4,1,5,0,4,39,1,3
1534,50,4,15,1,0,8,1,4,0,5,0,4,39,0,5
1537,43,4,11,15,2,7,0,4,1,5,0,4,39,0,4
1567,33,4,1,13,4,8,1,2,1,5,0,4,39,0,3
1586,51,4,15,1,0,4,4,4,1,5,0,4,34,0,5
1601,57,7,11,15,0,4,1,4,0,5,0,5,39,0,5
1622,37,4,11,15,4,8,3,1,0,5,0,4,30,0,3
1665,39,0,11,15,0,0,4,4,0,5,0,4,39,0,3
1708,24,4,9,4,4,7,1,1,1,5,0,4,3,0,2
1729,31,4,8,2,2,8,0,4,1,5,0,4,39,0,3
1787,39,4,12,5,2,4,0,1,1,1,0,4,39,1,3
1864,38,2,11,15,2,11,0,1,1,5,0,5,39,1,3
1894,68,4,15,1,6,12,1,4,1,5,0,4,39,0,6
2003,72,4,6,11,2,4,5,1,0,5,0,4,39,1,7
2126,20,0,15,1,4,0,3,1,0,5,0,1,39,0,2
2133,27,4,12,5,4,4,1,4,0,5,0,2,39,0,2
2135,44,4,11,15,4,12,1,1,0,5,0,4,39,0,4
2149,29,4,15,1,2,3,0,4,1,5,0,5,39,0,2
2186,47,6,12,5,0,10,1,4,1,5,0,4,39,0,4
2212,42,4,11,15,2,6,0,4,1,5,0,4,39,0,4
2247,64,2,11,15,0,1,1,4,0,5,0,4,39,0,6
